Unnamed: 0,book_tod,book_dow,book_category,book_staff,last_category,last_staff,last_day_services,last_receipt_tot,last_dow,last_tod,last_noshow,last_prod_flag,last_cumrev,last_cumbook,last_cumstyle,last_cumcolor,last_cumprod,last_cumcancel,last_cumnoshow,noshow,recency
190,evening,Thursday,STYLE,BECKY,STYLE,BECKY,1,0.0,Tuesday,afternoon,1,0,390,4,4,0,0,0,2,1,9
191,evening,Tuesday,STYLE,BECKY,STYLE,BECKY,1,0.0,Thursday,evening,1,0,440,5,5,0,0,0,3,1,5
192,afternoon,Saturday,STYLE,BECKY,STYLE,BECKY,1,0.0,Tuesday,evening,1,0,490,6,6,0,0,0,4,1,11
193,afternoon,Wednesday,STYLE,HOUSE,STYLE,BECKY,1,0.0,Saturday,afternoon,1,0,540,7,7,0,0,0,5,0,4
197,afternoon,Saturday,STYLE,BECKY,STYLE,BECKY,1,0.0,Tuesday,morning,1,0,840,11,11,0,0,2,7,1,11
204,evening,Tuesday,STYLE,BECKY,STYLE,BECKY,1,30.0,Friday,evening,0,0,30,1,1,0,0,0,0,0,39
205,evening,Tuesday,STYLE,BECKY,STYLE,BECKY,1,50.0,Tuesday,evening,0,0,80,2,2,0,0,0,0,0,35
212,afternoon,Saturday,STYLE,SINEAD,STYLE,SINEAD,1,83.8,Thursday,evening,0,1,90,3,3,0,1,1,0,0,23
213,evening,Friday,STYLE,BECKY,STYLE,SINEAD,1,55.0,Saturday,afternoon,0,0,145,4,4,0,1,1,0,0,20
214,evening,Tuesday,STYLE,BECKY,STYLE,BECKY,1,50.0,Friday,evening,0,0,195,5,5,0,1,1,0,0,18
222,afternoon,Thursday,STYLE,KELLY,COLOR,JOANNE,2,210.0,Thursday,afternoon,0,1,210,2,1,1,2,0,0,0,35
223,morning,Thursday,COLOR,JOANNE,COLOR,JOANNE,2,210.0,Thursday,afternoon,0,1,210,2,1,1,2,0,0,0,35
226,evening,Thursday,STYLE,JJ,COLOR,JOANNE,2,95.0,Tuesday,evening,0,1,95,2,1,1,2,0,0,0,37
227,afternoon,Saturday,STYLE,JJ,STYLE,JJ,1,60.0,Thursday,evening,0,0,155,3,2,1,2,0,0,0,37
228,afternoon,Saturday,COLOR,JOANNE,STYLE,JJ,1,60.0,Thursday,evening,0,0,155,3,2,1,2,0,0,0,37
230,evening,Wednesday,STYLE,JJ,STYLE,JJ,1,82.0,Tuesday,evening,0,0,82,1,1,0,0,0,0,0,50
231,evening,Thursday,STYLE,JJ,STYLE,JJ,1,102.0,Wednesday,evening,0,0,184,2,2,0,0,0,0,0,57
232,evening,Thursday,COLOR,JOANNE,STYLE,JJ,1,102.0,Wednesday,evening,0,0,184,2,2,0,0,0,0,0,57
237,morning,Friday,STYLE,BECKY,STYLE,BECKY,1,30.0,Friday,afternoon,0,0,30,1,1,0,0,0,0,0,21
243,evening,Friday,STYLE,JJ,COLOR,JJ,2,85.0,Wednesday,evening,0,1,85,2,1,1,2,0,0,0,37
247,afternoon,Friday,STYLE,JJ,COLOR,JJ,2,105.0,Saturday,morning,0,1,250,6,3,3,4,1,1,0,34
252,afternoon,Friday,STYLE,BECKY,MISC,BECKY,1,59.4,Tuesday,evening,0,1,60,3,1,0,1,1,1,0,52
254,evening,Friday,MISC,JJ,STYLE,JJ,1,82.0,Thursday,evening,0,0,82,1,1,0,0,0,0,0,1
257,evening,Friday,STYLE,KELLY,COLOR,KELLY,2,75.0,Friday,morning,0,1,75,2,1,1,2,0,0,0,21
258,evening,Wednesday,COLOR,KELLY,STYLE,KELLY,1,35.0,Friday,evening,0,0,110,3,2,1,2,0,0,1,5
